id,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
1,Alabama,US,2022-03-30 04:31:31,32.3182,-86.9023,1294816,19280,,,1.0,26407.651353151100,7434776.0,,1.48901465536416,84000001.0,USA,151631.56193372300,
2,Alaska,US,2022-03-30 04:31:31,61.3707,-152.4044,246385,1222,,,2.0,33680.088032861900,,,0.4959717515270820,84000002.0,USA,,
3,American Samoa,US,2022-03-30 04:31:31,-14.271000000000000,-170.132,3442,2,,,60.0,6186.085800039540,,,0.058105752469494500,16.0,ASM,,
4,Arizona,US,2022-03-30 04:31:31,33.7298,-111.4312,1997037,28883,,,4.0,27436.66225792270,18686089.0,,1.4462926826092900,84000004.0,USA,256722.2904805890,
5,Arkansas,US,2022-03-30 04:31:31,34.9697,-92.3731,832718,11211,,,5.0,27593.508392195100,5055715.0,,1.3463141183449900,84000005.0,USA,167529.60099463100,
6,California,US,2022-03-30 04:31:31,36.1162,-119.6816,9096593,88758,,,6.0,23022.225299750900,154600268.0,,0.9757279456165620,84000006.0,USA,391272.0071457380,
7,Colorado,US,2022-03-30 04:31:31,39.0598,-105.3111,1343645,11966,,,8.0,23332.29028036710,17011737.0,,0.8905626114040540,84000008.0,USA,295407.4817807240,
8,Connecticut,US,2022-03-30 04:31:31,41.5978,-72.7554,735575,10779,,,9.0,20631.57888831950,13609537.0,,1.4653842232267300,84000009.0,USA,381723.4629358030,
9,Delaware,US,2022-03-30 04:31:31,39.3185,-75.5071,259453,2846,,,10.0,26644.340928602800,3201291.0,,1.0969231421490600,84000010.0,USA,328754.2977559250,
10,Diamond Princess,US,2022-03-30 04:31:31,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,
11,District of Columbia,US,2022-03-30 04:31:31,38.8974,-77.0268,134623,1319,,,11.0,19075.195288976700,,,0.9797731442621250,84000011.0,USA,,
12,Florida,US,2022-03-30 04:31:31,27.7663,-81.6868,5885004,73136,,,12.0,27400.484511007800,55736456.0,,1.242751916566240,84000012.0,USA,259508.0477985180,
13,Georgia,US,2022-03-30 04:31:31,33.0406,-83.6431,2487464,36868,,,13.0,23428.13317318150,17248686.0,,1.4821521035078300,84000013.0,USA,162456.42657356700,
14,Grand Princess,US,2022-03-30 04:31:31,,,103,3,,,99999.0,,,,2.912621359223300,84099999.0,USA,,
15,Guam,US,2022-03-30 04:31:31,13.4443,144.7937,47181,343,,,66.0,28728.787242204500,375869.0,,0.7269875585511120,316.0,GUM,228868.83558933000,
16,Hawaii,US,2022-03-30 04:31:31,21.0943,-157.4983,239591,1373,,,15.0,16921.79801563980,3698730.0,,0.5730599229520310,84000015.0,USA,261233.36007774700,
17,Idaho,US,2022-03-30 04:31:31,44.2405,-114.4788,443792,4870,,,16.0,24833.567889248600,1209689.0,,1.097360925839130,84000016.0,USA,67691.38223847480,
18,Illinois,US,2022-03-30 04:31:31,40.3495,-88.9861,3065321,35781,,,17.0,24190.05918723130,57077967.0,,1.1672839484021400,84000017.0,USA,450432.2385867040,
19,Indiana,US,2022-03-30 04:31:31,39.8494,-86.2583,1690823,23373,,,18.0,25115.38914583740,19381096.0,,1.3823445742103100,84000018.0,USA,287885.703064621,
20,Iowa,US,2022-03-30 04:31:31,42.0115,-93.2105,758463,9402,,,19.0,24039.49833125730,,,1.2396122157573900,84000019.0,USA,,
21,Kansas,US,2022-03-30 04:31:31,38.5266,-96.7265,770556,8221,,,20.0,26449.466140622000,2267370.0,,1.066891958533840,84000020.0,USA,77827.86201556030,
22,Kentucky,US,2022-03-30 04:31:31,37.6681,-84.6701,1312407,14895,,,21.0,29375.62798351630,,,1.1349375612900600,84000021.0,USA,,
23,Louisiana,US,2022-03-30 04:31:31,31.1695,-91.8678,1168214,17104,,,22.0,25129.39915169400,13073754.0,,1.4641153076405500,84000022.0,USA,281228.9380858780,
24,Maine,US,2022-03-30 04:31:31,44.6939,-69.3819,235293,2200,,,23.0,17504.158570225500,3942446.0,,0.935004441271096,84000023.0,USA,293290.4928686840,
25,Maryland,US,2022-03-30 04:31:31,39.0639,-76.8021,1011211,14331,,,24.0,16726.17472310810,19486034.0,,1.41721164030059,84000024.0,USA,322313.35432904200,
26,Massachusetts,US,2022-03-30 04:31:31,42.2302,-71.5301,1695750,20097,,,25.0,24602.818453615500,42106207.0,,1.1851393188854500,84000025.0,USA,610898.6387093340,
27,Michigan,US,2022-03-30 04:31:31,43.3266,-84.5361,2385536,35578,,,26.0,23886.754361257,23397768.0,,1.4914048666630900,84000026.0,USA,234285.6015661380,
28,Minnesota,US,2022-03-30 04:31:31,45.6945,-93.9002,1428704,12610,,,27.0,25333.284157547900,16225187.0,,0.8826180930409660,84000027.0,USA,287699.39244262700,
29,Mississippi,US,2022-03-30 04:31:31,32.7416,-89.6787,794292,12396,,,28.0,26688.583132094500,,,1.5606351316644300,84000028.0,USA,,
30,Missouri,US,2022-03-30 04:31:31,38.4561,-92.2884,1415385,20142,,,29.0,23061.533267681500,9832352.0,,1.4230757002511700,84000029.0,USA,160203.13395122500,
31,Montana,US,2022-03-30 04:31:31,46.9219,-110.4544,272509,3246,,,30.0,25497.25013052290,2778944.0,,1.1911533197068700,84000030.0,USA,260011.34005378100,
32,Nebraska,US,2022-03-30 04:31:31,41.1254,-98.2681,477831,4123,,,31.0,24701.665832647500,5385896.0,,0.8628573700743570,84000031.0,USA,278426.06109983,
33,Nevada,US,2022-03-30 04:31:31,38.3135,-117.0554,705614,10031,,,32.0,22908.38515971270,,,1.4215987778020300,84000032.0,USA,,
34,New Hampshire,US,2022-03-30 04:31:31,43.4525,-71.5639,302253,2451,,,33.0,22229.209001030400,3650804.0,,0.8109100654087800,84000033.0,USA,268498.52652512200,
35,New Jersey,US,2022-03-30 04:31:31,40.2989,-74.521,2196970,33225,,,34.0,24734.55307756310,17768479.0,,1.5123101362330800,84000034.0,USA,200046.1485286850,
36,New Mexico,US,2022-03-30 04:31:31,34.8405,-106.2485,517608,7234,,,35.0,24685.27476489500,6782592.0,,1.3975827266966500,84000035.0,USA,323469.00963311700,
37,New York,US,2022-03-30 04:31:31,42.1657,-74.9481,4987844,67953,,,36.0,25639.747910421100,104110318.0,,1.3623721992909200,84000036.0,USA,535173.5756759390,
38,North Carolina,US,2022-03-30 04:31:31,35.6301,-79.8064,2627220,23194,,,37.0,25049.57054119700,22752758.0,,0.8828343267788770,84000037.0,USA,216939.128252596,
39,North Dakota,US,2022-03-30 04:31:31,47.5289,-99.78400000000000,239672,2232,,,38.0,31450.45941143900,,,0.9312727394105280,84000038.0,USA,,
40,Northern Mariana Islands,US,2022-03-30 04:31:31,15.0979,145.6739,11065,33,,,69.0,20065.646307848500,,,0.298237686398554,580.0,MNP,,
41,Ohio,US,2022-03-30 04:31:31,40.3888,-82.7649,2669698,37793,,,39.0,22839.20917778100,22012349.0,,1.4156282845475400,84000039.0,USA,188315.17396548900,
42,Oklahoma,US,2022-03-30 04:31:31,35.5653,-96.9289,1031448,15383,,,40.0,26066.604986490900,,,1.4913984999728500,84000040.0,USA,,
43,Oregon,US,2022-03-30 04:31:31,44.572000000000000,-122.0709,703465,7115,,,41.0,16678.730798055900,10820935.0,,1.011422032368350,84000041.0,USA,256557.8413258110,
44,Pennsylvania,US,2022-03-30 04:31:31,40.5908,-77.2098,2779921,44238,,,42.0,21714.75854259830,24821564.0,,1.5913401855664200,84000042.0,USA,193888.34031961800,
45,Puerto Rico,US,2022-03-30 04:31:31,18.2208,-66.5901,480110,4163,,,72.0,15033.062027858600,3915757.0,,0.8670929578638230,630.0,PRI,122609.02265527000,
46,Rhode Island,US,2022-03-30 04:31:31,41.6809,-71.5118,360759,3522,,,44.0,34054.39694306290,7620628.0,,0.976275020165817,84000044.0,USA,719360.8222315150,
47,South Carolina,US,2022-03-30 04:31:31,33.8569,-80.945,1468140,17591,,,45.0,28514.693183579400,12727501.0,,1.1981827346165900,84000045.0,USA,247197.66916554300,
48,South Dakota,US,2022-03-30 04:31:31,44.2998,-99.4388,236955,2880,,,46.0,26784.896779437000,1294680.0,,1.2154206494904100,84000046.0,USA,146347.9148462850,
49,Tennessee,US,2022-03-30 04:31:31,35.7478,-86.6923,2019965,25522,,,47.0,29578.467322695200,,,1.2634872386402700,84000047.0,USA,,
50,Texas,US,2022-03-30 04:31:31,31.0545,-97.5635,6732766,87308,,,48.0,23219.732485452000,47436392.0,,1.2967627272357300,84000048.0,USA,163597.00193279200,
51,Utah,US,2022-03-30 04:31:31,40.15,-111.8624,927649,4711,,,49.0,28935.1576034371,5950899.0,,0.5078429449069640,84000049.0,USA,185619.9925264150,
52,Vermont,US,2022-03-30 04:31:31,44.0459,-72.7107,116246,617,,,50.0,18629.49507122720,3464712.0,,0.5307709512585380,84000050.0,USA,555252.0957901500,
53,Virgin Islands,US,2022-03-30 04:31:31,18.3358,-64.8963,15632,111,,,78.0,14572.845583025700,346435.0,,0.7100818833162740,850.0,VIR,322962.11358466600,
54,Virginia,US,2022-03-30 04:31:31,37.7693,-78.17,1667289,19653,,,51.0,19533.53978826600,13119309.0,,1.1787398585368200,84000051.0,USA,153702.53408140700,
55,Washington,US,2022-03-30 04:31:31,47.4009,-121.4905,1453251,12454,,,53.0,19084.325938657300,,,0.8569751543264030,84000053.0,USA,,
56,West Virginia,US,2022-03-30 04:31:31,38.4912,-80.9545,497553,6794,,,54.0,27762.95694493810,6006730.0,,1.3654826721977400,84000054.0,USA,335169.49223473300,
57,Wisconsin,US,2022-03-30 04:31:31,44.2685,-89.6165,1584157,14291,,,55.0,27207.813776850000,,,0.902120181269912,84000055.0,USA,,
58,Wyoming,US,2022-03-30 04:31:31,42.756,-107.3025,156112,1791,,,56.0,26973.576220844900,1389573.0,,1.1472532540740000,84000056.0,USA,240095.27281649200,